<=50K, Private, Some-college, Separated, Sales, Unmarried, Black, Female, United-States
<=50K, Federal-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male, United-States
<=50K, Private, Assoc-acdm, Never-married, Tech-support, Own-child, White, Male, United-States
<=50K, Private, 1st-4th, Married-civ-spouse, Other-service, Wife, White, Female, El-Salvador
>50K, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
<=50K, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Male, United-States
>50K, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States
<=50K, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female, United-States
>50K, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States
<=50K, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male, United-States
<=50K, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States
<=50K, Private, Bachelors, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Female, Philippines
>50K, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
<=50K, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
>50K, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male, United-States
<=50K, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female, United-States
>50K, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
<=50K, Federal-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female, United-States
<=50K, Local-gov, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States
<=50K, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States
>50K, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
<=50K, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
<=50K, Private, Assoc-voc, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female, United-States
>50K, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, India
>50K, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
<=50K, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
<=50K, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States
>50K, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
<=50K, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
<=50K, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States
<=50K, Private, HS-grad, Never-married, Sales, Own-child, White, Male, United-States
<=50K, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
<=50K, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Female, United-States
<=50K, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
<=50K, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
<=50K, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States
<=50K, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female, United-States
>50K, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States
<=50K, Private, 5th-6th, Married-civ-spouse, Transport-moving, Husband, White, Male, Mexico
>50K, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States
<=50K, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States
<=50K, Private, 10th, Never-married, Handlers-cleaners, Own-child, Black, Male, United-States
>50K, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
<=50K, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female, United-States
>50K, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
<=50K, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Other, Male, United-States
<=50K, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, Canada
<=50K, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States
<=50K, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States
<=50K, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States
<=50K, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
>50K, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
>50K, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States
>50K, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
<=50K, Private, Some-college, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, Philippines
>50K, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States
<=50K, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female, South
<=50K, Private, Some-college, Widowed, Sales, Unmarried, White, Female, United-States
<=50K, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Female, United-States
<=50K, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States
>50K, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
<=50K, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male, United-States
<=50K, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male, United-States
<=50K, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States
<=50K, Self-emp-not-inc, 9th, Separated, Craft-repair, Not-in-family, White, Male, United-States
<=50K, Private, 10th, Never-married, Other-service, Other-relative, Black, Female, United-States
<=50K, Private, Some-college, Never-married, Sales, Not-in-family, White, Male, United-States
>50K, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
<=50K, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female, United-States
<=50K, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female, United-States
<=50K, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male, United-States
>50K, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States
<=50K, Private, HS-grad, Separated, Other-service, Unmarried, White, Female, United-States
>50K, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States
>50K, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
<=50K, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States
<=50K, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States
<=50K, Private, 12th, Never-married, Craft-repair, Unmarried, White, Male, United-States
<=50K, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States
<=50K, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
>50K, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
<=50K, State-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Female, United-States
>50K, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
<=50K, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States
<=50K, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male, United-States
<=50K, Private, Some-college, Never-married, Prof-specialty, Other-relative, Black, Female, United-States
<=50K, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States
<=50K, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female, United-States
>50K, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
<=50K, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico
<=50K, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female, United-States
>50K, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male, United-States
<=50K, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male, United-States
>50K, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male, United-States
>50K, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
>50K, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States
<=50K, Private, Some-college, Married-civ-spouse, Other-service, Wife, Black, Female, United-States
<=50K, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States
<=50K, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States
<=50K, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, White, Male, United-States
